"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,,,,,
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,,,,,
County,,,,,,,,
GeoFips,GeoName,LineCode,Description,2018,2019,2020,2021,2022
6000,California,1,Personal income (thousands of dollars),2411055136,2537950599,2767521379,3013676929,3006647281
6000,California,2,Population (persons) 1,39535906,39547996,39501653,39142991,39029342
6000,California,3,Per capita personal income (dollars) 2,60984,64174,70061,76991,77036
6001,"Alameda, CA",1,Personal income (thousands of dollars),124671796,134505557,147136291,162176203,159241119
6001,"Alameda, CA",2,Population (persons) 1,1680371,1683879,1680380,1643837,1628997
6001,"Alameda, CA",3,Per capita personal income (dollars) 2,74193,79878,87561,98657,97754
6003,"Alpine, CA",1,Personal income (thousands of dollars),85025,94006,89202,86288,80386
6003,"Alpine, CA",2,Population (persons) 1,1142,1184,1204,1235,1190
6003,"Alpine, CA",3,Per capita personal income (dollars) 2,74453,79397,74088,69869,67551
6005,"Amador, CA",1,Personal income (thousands of dollars),1660611,1760594,1919536,2056386,2006939
6005,"Amador, CA",2,Population (persons) 1,39702,40093,40532,41144,41412
6005,"Amador, CA",3,Per capita personal income (dollars) 2,41827,43913,47359,49980,48463
6007,"Butte, CA",1,Personal income (thousands of dollars),9718118,9927494,10781637,11548920,11396345
6007,"Butte, CA",2,Population (persons) 1,227962,216206,210135,206190,207303
6007,"Butte, CA",3,Per capita personal income (dollars) 2,42630,45917,51308,56011,54974
6009,"Calaveras, CA",1,Personal income (thousands of dollars),2126248,2265619,2452765,2621697,2607568
6009,"Calaveras, CA",2,Population (persons) 1,44956,45226,45346,46219,46563
6009,"Calaveras, CA",3,Per capita personal income (dollars) 2,47296,50095,54090,56723,56001
6011,"Colusa, CA",1,Personal income (thousands of dollars),986398,970603,1225922,1295098,1216260
6011,"Colusa, CA",2,Population (persons) 1,21620,21734,21858,21913,21914
6011,"Colusa, CA",3,Per capita personal income (dollars) 2,45624,44658,56086,59102,55502
6013,"Contra Costa, CA",1,Personal income (thousands of dollars),91160536,93446849,100692971,110320394,109965993
6013,"Contra Costa, CA",2,Population (persons) 1,1161220,1164547,1165986,1163298,1156966
6013,"Contra Costa, CA",3,Per capita personal income (dollars) 2,78504,80243,86359,94834,95047
6015,"Del Norte, CA",1,Personal income (thousands of dollars),967786,1011557,1144798,1231849,1182855
6015,"Del Norte, CA",2,Population (persons) 1,27580,27664,27601,27553,27082
6015,"Del Norte, CA",3,Per capita personal income (dollars) 2,35090,36566,41477,44708,43677
6017,"El Dorado, CA",1,Personal income (thousands of dollars),12509360,13203465,14187909,15436024,15808893
6017,"El Dorado, CA",2,Population (persons) 1,189442,191376,191220,193590,192646
6017,"El Dorado, CA",3,Per capita personal income (dollars) 2,66033,68992,74197,79736,82062
6019,"Fresno, CA",1,Personal income (thousands of dollars),40504743,42828739,48552515,52363942,51316407
6019,"Fresno, CA",2,Population (persons) 1,997501,1004849,1009503,1012992,1015190
6019,"Fresno, CA",3,Per capita personal income (dollars) 2,40606,42622,48095,51692,50549
6021,"Glenn, CA",1,Personal income (thousands of dollars),1206997,1250310,1430189,1497724,1446856
6021,"Glenn, CA",2,Population (persons) 1,28376,28991,28896,28664,28339
6021,"Glenn, CA",3,Per capita personal income (dollars) 2,42536,43128,49494,52251,51055
6023,"Humboldt, CA",1,Personal income (thousands of dollars),6029582,6283125,6850029,7310048,7296395
6023,"Humboldt, CA",2,Population (persons) 1,137591,137054,136261,134836,135010
6023,"Humboldt, CA",3,Per capita personal income (dollars) 2,43823,45844,50271,54214,54043
6025,"Imperial, CA",1,Personal income (thousands of dollars),6353010,6740447,8183274,8643247,8075656
6025,"Imperial, CA",2,Population (persons) 1,180396,179694,179595,179215,178713
6025,"Imperial, CA",3,Per capita personal income (dollars) 2,35217,37511,45565,48228,45188
6027,"Inyo, CA",1,Personal income (thousands of dollars),1024203,1089334,1134595,1153492,1151182
6027,"Inyo, CA",2,Population (persons) 1,18666,18866,19001,18927,18718
6027,"Inyo, CA",3,Per capita personal income (dollars) 2,54870,57741,59712,60944,61501
6029,"Kern, CA",1,Personal income (thousands of dollars),33813117,35596941,40300516,42561996,41098858
6029,"Kern, CA",2,Population (persons) 1,900315,906453,905828,912351,916108
6029,"Kern, CA",3,Per capita personal income (dollars) 2,37557,39271,44490,46651,44862
6031,"Kings, CA",1,Personal income (thousands of dollars),5296250,5548160,6292586,6690054,6505590
6031,"Kings, CA",2,Population (persons) 1,151138,152633,152790,152679,152981
6031,"Kings, CA",3,Per capita personal income (dollars) 2,35042,36350,41185,43818,42525
6033,"Lake, CA",1,Personal income (thousands of dollars),2625869,2726156,3001704,3213324,3111067
6033,"Lake, CA",2,Population (persons) 1,67333,67771,68195,68584,68191
6033,"Lake, CA",3,Per capita personal income (dollars) 2,38998,40226,44016,46852,45623
6035,"Lassen, CA",1,Personal income (thousands of dollars),1072008,1086453,1230010,1309137,1217102
6035,"Lassen, CA",2,Population (persons) 1,32854,33169,32317,31813,29904
6035,"Lassen, CA",3,Per capita personal income (dollars) 2,32629,32755,38061,41151,40700
6037,"Los Angeles, CA",1,Personal income (thousands of dollars),595765931,628932215,673306158,720046822,720740528
6037,"Los Angeles, CA",2,Population (persons) 1,10096986,10051154,9992236,9811842,9721138
6037,"Los Angeles, CA",3,Per capita personal income (dollars) 2,59004,62573,67383,73385,74142
6039,"Madera, CA",1,Personal income (thousands of dollars),5815299,6076859,6940713,7553475,7436909
6039,"Madera, CA",2,Population (persons) 1,155430,155658,156343,158910,160256
6039,"Madera, CA",3,Per capita personal income (dollars) 2,37414,39040,44394,47533,46406
6041,"Marin, CA",1,Personal income (thousands of dollars),33770671,35896884,37796487,42936183,43824350
6041,"Marin, CA",2,Population (persons) 1,263646,263057,261282,259162,256018
6041,"Marin, CA",3,Per capita personal income (dollars) 2,128091,136460,144658,165673,171177
6043,"Mariposa, CA",1,Personal income (thousands of dollars),884466,919965,979407,1036419,1042143
6043,"Mariposa, CA",2,Population (persons) 1,17328,17081,17118,17107,17020
6043,"Mariposa, CA",3,Per capita personal income (dollars) 2,51043,53859,57215,60584,61230
6045,"Mendocino, CA",1,Personal income (thousands of dollars),4155689,4322898,4794385,5159935,5145470
6045,"Mendocino, CA",2,Population (persons) 1,91838,91721,91361,91003,89783
6045,"Mendocino, CA",3,Per capita personal income (dollars) 2,45250,47131,52477,56701,57310
6047,"Merced, CA",1,Personal income (thousands of dollars),10148451,10711229,12445651,13532782,13395227
6047,"Merced, CA",2,Population (persons) 1,275626,279263,281814,284458,290014
6047,"Merced, CA",3,Per capita personal income (dollars) 2,36820,38355,44163,47574,46188
6049,"Modoc, CA",1,Personal income (thousands of dollars),381904,406924,459764,476942,481376
